

 ----- Approach monitoring ----- 
 ----- High phase monitoring: Tvashtar on limb ----- 
 52/571:   4,   0,  0035121554_1.fit,   1X1,   2007 MAR 02 06:07:16.36,   0.004,          --,   IO       
 53/571:   4,   1,  0035121557_1.fit,   1X1,   2007 MAR 02 06:07:19.36,   0.020,          2s,   IO       
 54/571:   4,   2,  0035121560_1.fit,   1X1,   2007 MAR 02 06:07:22.33,   0.075,          2s,   IO       

 ----- Jupiter ring - best portrait ----- 
 55/571:   5,   0,  0034961819_1.fit,   1X1,   2007 FEB 28 09:45:01.11,   0.500,          --,   JUPITER  
 56/571:   5,   1,  0034962013_1.fit,   1X1,   2007 FEB 28 09:48:13.88,   2.967,      3m 12s,   JUPITER  
 57/571:   5,   2,  0034962016_1.fit,   1X1,   2007 FEB 28 09:48:16.89,   2.967,          3s,   JUPITER  
 58/571:   5,   3,  0034962019_1.fit,   1X1,   2007 FEB 28 09:48:19.89,   2.967,          2s,   JUPITER  
 59/571:   5,   4,  0034962022_1.fit,   1X1,   2007 FEB 28 09:48:22.88,   2.967,          2s,   JUPITER  
 60/571:   5,   5,  0034962025_1.fit,   1X1,   2007 FEB 28 09:48:25.88,   2.967,          2s,   JUPITER  
 61/571:   5,   6,  0034962028_1.fit,   1X1,   2007 FEB 28 09:48:28.88,   2.967,          2s,   JUPITER  
 62/571:   5,   7,  0034962246_1.fit,   1X1,   2007 FEB 28 09:52:05.88,   4.967,      3m 37s,   JUPITER  
 63/571:   5,   8,  0034962251_1.fit,   1X1,   2007 FEB 28 09:52:10.89,   4.967,          5s,   JUPITER  
 64/571:   5,   9,  0034962316_1.fit,   1X1,   2007 FEB 28 09:53:15.88,   4.967,      1m  4s,   JUPITER  
 65/571:   5,  10,  0034962321_3.fit,   1X1,   2007 FEB 28 09:53:20.89,   4.967,          5s,   JUPITER  
 66/571:   5,  11,  0034962386_1.fit,   1X1,   2007 FEB 28 09:54:25.89,   4.967,      1m  4s,   JUPITER  
 67/571:   5,  12,  0034962391_3.fit,   1X1,   2007 FEB 28 09:54:30.89,   4.967,          5s,   JUPITER  
 68/571:   5,  13,  0034962456_1.fit,   1X1,   2007 FEB 28 09:55:35.89,   4.967,      1m  4s,   JUPITER  
 69/571:   5,  14,  0034962461_1.fit,   1X1,   2007 FEB 28 09:55:40.88,   4.967,          4s,   JUPITER  

 ----- Jupiter ring - main ring vertical structure including ripples ----- 
 70/571:   6,   0,  0035078888_1.fit,   4X4,   2007 MAR 01 18:16:05.38,   9.967,          --,   JUPITER  
 71/571:   6,   1,  0035078898_1.fit,   4X4,   2007 MAR 01 18:16:15.39,   9.967,         10s,   JUPITER  
 72/571:   6,   2,  0035078908_1.fit,   4X4,   2007 MAR 01 18:16:25.38,   9.967,          9s,   JUPITER  
 73/571:   6,   3,  0035078918_1.fit,   4X4,   2007 MAR 01 18:16:35.39,   9.967,         10s,   JUPITER  
 74/571:   6,   4,  0035078928_1.fit,   4X4,   2007 MAR 01 18:16:45.38,   9.967,          9s,   JUPITER  
 75/571:   6,   5,  0035079368_1.fit,   4X4,   2007 MAR 01 18:24:05.39,   9.967,      7m 20s,   JUPITER  
 76/571:   6,   6,  0035079378_1.fit,   4X4,   2007 MAR 01 18:24:15.38,   9.967,          9s,   JUPITER  
 77/571:   6,   7,  0035079388_1.fit,   4X4,   2007 MAR 01 18:24:25.39,   9.967,         10s,   JUPITER  
 78/571:   6,   8,  0035079398_1.fit,   4X4,   2007 MAR 01 18:24:35.38,   9.967,          9s,   JUPITER  
 79/571:   6,   9,  0035079408_1.fit,   4X4,   2007 MAR 01 18:24:45.39,   9.967,         10s,   JUPITER  
 80/571:   6,  10,  0035079784_1.fit,   1X1,   2007 MAR 01 18:31:04.87,   3.000,      6m 19s,   JUPITER  
 81/571:   6,  11,  0035079854_1.fit,   1X1,   2007 MAR 01 18:32:14.87,   3.000,      1m 10s,   JUPITER  
 82/571:   6,  12,  0035079924_1.fit,   1X1,   2007 MAR 01 18:33:24.87,   3.000,      1m 10s,   JUPITER  
 83/571:   6,  13,  0035080321_1.fit,   1X1,   2007 MAR 01 18:40:02.37,   2.000,      6m 37s,   JUPITER  
 84/571:   6,  14,  0035080441_1.fit,   1X1,   2007 MAR 01 18:42:02.37,   2.000,      2m  0s,   JUPITER  
 85/571:   6,  15,  0035080561_1.fit,   1X1,   2007 MAR 01 18:44:02.37,   2.000,      2m  0s,   JUPITER  
 86/571:   6,  16,  0035081108_1.fit,   4X4,   2007 MAR 01 18:53:05.39,   9.967,      9m  3s,   JUPITER  
 87/571:   6,  17,  0035081118_1.fit,   4X4,   2007 MAR 01 18:53:15.38,   9.967,          9s,   JUPITER  
 88/571:   6,  18,  0035081128_1.fit,   4X4,   2007 MAR 01 18:53:25.39,   9.967,         10s,   JUPITER  
 89/571:   6,  19,  0035081138_1.fit,   4X4,   2007 MAR 01 18:53:35.38,   9.967,          9s,   JUPITER  
 90/571:   6,  20,  0035081148_1.fit,   4X4,   2007 MAR 01 18:53:45.38,   9.967,          9s,   JUPITER  
 91/571:   6,  21,  0035081528_1.fit,   4X4,   2007 MAR 01 19:00:05.39,   9.967,      6m 20s,   JUPITER  
 92/571:   6,  22,  0035081538_1.fit,   4X4,   2007 MAR 01 19:00:15.38,   9.967,          9s,   JUPITER  
 93/571:   6,  23,  0035081548_1.fit,   4X4,   2007 MAR 01 19:00:25.39,   9.967,         10s,   JUPITER  
 94/571:   6,  24,  0035081558_1.fit,   4X4,   2007 MAR 01 19:00:35.38,   9.967,          9s,   JUPITER  
 95/571:   6,  25,  0035081568_1.fit,   4X4,   2007 MAR 01 19:00:45.39,   9.967,         10s,   JUPITER  
 96/571:   6,  26,  0035081648_1.fit,   4X4,   2007 MAR 01 19:02:05.39,   9.967,      1m 19s,   JUPITER  
 97/571:   6,  27,  0035081658_1.fit,   4X4,   2007 MAR 01 19:02:15.38,   9.967,          9s,   JUPITER  
 98/571:   6,  28,  0035081668_1.fit,   4X4,   2007 MAR 01 19:02:25.39,   9.967,         10s,   JUPITER  
 99/571:   6,  29,  0035081678_1.fit,   4X4,   2007 MAR 01 19:02:35.38,   9.967,          9s,   JUPITER  
100/571:   6,  30,  0035081688_1.fit,   4X4,   2007 MAR 01 19:02:45.38,   9.967,          9s,   JUPITER  
101/571:   6,  31,  0035082068_1.fit,   4X4,   2007 MAR 01 19:09:05.39,   9.967,      6m 20s,   JUPITER  
102/571:   6,  32,  0035082078_1.fit,   4X4,   2007 MAR 01 19:09:15.38,   9.967,          9s,   JUPITER  
103/571:   6,  33,  0035082088_1.fit,   4X4,   2007 MAR 01 19:09:25.39,   9.967,         10s,   JUPITER  
104/571:   6,  34,  0035082098_1.fit,   4X4,   2007 MAR 01 19:09:35.38,   9.967,          9s,   JUPITER  
105/571:   6,  35,  0035082108_1.fit,   4X4,   2007 MAR 01 19:09:45.39,   9.967,         10s,   JUPITER  
106/571:   6,  36,  0035083028_1.fit,   4X4,   2007 MAR 01 19:25:05.38,   9.967,     15m 19s,   JUPITER  
107/571:   6,  37,  0035083038_1.fit,   4X4,   2007 MAR 01 19:25:15.38,   9.967,          9s,   JUPITER  
108/571:   6,  38,  0035083048_1.fit,   4X4,   2007 MAR 01 19:25:25.39,   9.967,         10s,   JUPITER  
109/571:   6,  39,  0035083058_1.fit,   4X4,   2007 MAR 01 19:25:35.38,   9.967,          9s,   JUPITER  
110/571:   6,  40,  0035083068_1.fit,   4X4,   2007 MAR 01 19:25:45.39,   9.967,         10s,   JUPITER  
111/571:   6,  41,  0035083448_1.fit,   4X4,   2007 MAR 01 19:32:05.38,   9.967,      6m 19s,   JUPITER  
112/571:   6,  42,  0035083458_1.fit,   4X4,   2007 MAR 01 19:32:15.39,   9.967,         10s,   JUPITER  
113/571:   6,  43,  0035083468_1.fit,   4X4,   2007 MAR 01 19:32:25.39,   9.967,          9s,   JUPITER  
114/571:   6,  44,  0035083478_1.fit,   4X4,   2007 MAR 01 19:32:35.38,   9.967,          9s,   JUPITER  
115/571:   6,  45,  0035083488_1.fit,   4X4,   2007 MAR 01 19:32:45.39,   9.967,         10s,   JUPITER  
116/571:   6,  46,  0035088784_3.fit,   1X1,   2007 MAR 01 21:01:04.87,   3.000,  1h 28m 19s,   JUPITER  
117/571:   6,  47,  0035088854_3.fit,   1X1,   2007 MAR 01 21:02:14.87,   3.000,      1m 10s,   JUPITER  
118/571:   6,  48,  0035088924_3.fit,   1X1,   2007 MAR 01 21:03:24.87,   3.000,      1m 10s,   JUPITER  
119/571:   6,  49,  0035089264_2.fit,   1X1,   2007 MAR 01 21:09:04.87,   3.000,      5m 40s,   JUPITER  
120/571:   6,  50,  0035089864_2.fit,   1X1,   2007 MAR 01 21:19:04.87,   3.000,      9m 59s,   JUPITER  
121/571:   6,  51,  0035090464_2.fit,   1X1,   2007 MAR 01 21:29:04.87,   3.000,      9m 59s,   JUPITER  
122/571:   6,  52,  0035091064_2.fit,   1X1,   2007 MAR 01 21:39:04.87,   3.000,     10m  0s,   JUPITER  
123/571:   6,  53,  0035091664_2.fit,   1X1,   2007 MAR 01 21:49:04.87,   3.000,      9m 59s,   JUPITER  
124/571:   6,  54,  0035092144_2.fit,   1X1,   2007 MAR 01 21:57:04.87,   3.000,      8m  0s,   JUPITER  
125/571:   6,  55,  0035093588_1.fit,   4X4,   2007 MAR 01 22:21:05.38,   9.967,     24m  0s,   JUPITER  
126/571:   6,  56,  0035093598_1.fit,   4X4,   2007 MAR 01 22:21:15.39,   9.967,         10s,   JUPITER  
127/571:   6,  57,  0035093608_1.fit,   4X4,   2007 MAR 01 22:21:25.38,   9.967,          9s,   JUPITER  
128/571:   6,  58,  0035093618_1.fit,   4X4,   2007 MAR 01 22:21:35.39,   9.967,         10s,   JUPITER  
129/571:   6,  59,  0035093773_1.fit,   4X4,   2007 MAR 01 22:24:13.88,   2.967,      2m 38s,   JUPITER  
130/571:   6,  60,  0035093776_1.fit,   4X4,   2007 MAR 01 22:24:16.89,   2.967,          3s,   JUPITER  
131/571:   6,  61,  0035093779_1.fit,   4X4,   2007 MAR 01 22:24:19.89,   2.967,          2s,   JUPITER  
132/571:   6,  62,  0035093782_1.fit,   4X4,   2007 MAR 01 22:24:22.88,   2.967,          2s,   JUPITER  
133/571:   6,  63,  0035094243_1.fit,   4X4,   2007 MAR 01 22:32:03.89,   2.967,      7m 41s,   JUPITER  
134/571:   6,  64,  0035094246_1.fit,   4X4,   2007 MAR 01 22:32:06.89,   2.967,          2s,   JUPITER  
135/571:   6,  65,  0035094249_1.fit,   4X4,   2007 MAR 01 22:32:09.89,   2.967,          2s,   JUPITER  
136/571:   6,  66,  0035094252_1.fit,   4X4,   2007 MAR 01 22:32:12.88,   2.967,          2s,   JUPITER  
137/571:   6,  67,  0035094323_1.fit,   4X4,   2007 MAR 01 22:33:23.89,   2.967,      1m 11s,   JUPITER  
138/571:   6,  68,  0035094326_1.fit,   4X4,   2007 MAR 01 22:33:26.88,   2.967,          2s,   JUPITER  
139/571:   6,  69,  0035094329_1.fit,   4X4,   2007 MAR 01 22:33:29.88,   2.967,          2s,   JUPITER  
140/571:   6,  70,  0035094332_1.fit,   4X4,   2007 MAR 01 22:33:32.88,   2.967,          2s,   JUPITER  
141/571:   6,  71,  0035094403_1.fit,   4X4,   2007 MAR 01 22:34:43.88,   2.967,      1m 11s,   JUPITER  
142/571:   6,  72,  0035094406_1.fit,   4X4,   2007 MAR 01 22:34:46.88,   2.967,          2s,   JUPITER  
143/571:   6,  73,  0035094409_1.fit,   4X4,   2007 MAR 01 22:34:49.89,   2.967,          3s,   JUPITER  
144/571:   6,  74,  0035094412_1.fit,   4X4,   2007 MAR 01 22:34:52.89,   2.967,          2s,   JUPITER  
145/571:   6,  75,  0035094483_1.fit,   4X4,   2007 MAR 01 22:36:03.88,   2.967,      1m 10s,   JUPITER  
