

 ----- Approach monitoring ----- 
222/571:   6, 152,  0035106551_1.fit,   1X1,   2007 MAR 02 01:57:13.27,   0.200,      4m  0s,   JUPITER  
223/571:   6, 153,  0035106791_1.fit,   1X1,   2007 MAR 02 02:01:13.27,   0.200,      4m  0s,   JUPITER  
224/571:   6, 154,  0035107031_1.fit,   1X1,   2007 MAR 02 02:05:13.27,   0.200,      3m 59s,   JUPITER  
225/571:   6, 155,  0035107271_1.fit,   1X1,   2007 MAR 02 02:09:13.27,   0.200,      4m  0s,   JUPITER  
226/571:   6, 156,  0035107511_1.fit,   1X1,   2007 MAR 02 02:13:13.27,   0.200,      4m  0s,   JUPITER  
227/571:   6, 157,  0035108101_1.fit,   4X4,   2007 MAR 02 02:23:01.89,   2.967,      9m 48s,   JUPITER  
228/571:   6, 158,  0035108104_1.fit,   4X4,   2007 MAR 02 02:23:04.89,   2.967,          2s,   JUPITER  
229/571:   6, 159,  0035108107_1.fit,   4X4,   2007 MAR 02 02:23:07.88,   2.967,          2s,   JUPITER  
230/571:   6, 160,  0035108110_1.fit,   4X4,   2007 MAR 02 02:23:10.88,   2.967,          2s,   JUPITER  
231/571:   6, 161,  0035108523_1.fit,   1X1,   2007 MAR 02 02:30:03.88,   2.967,      6m 53s,   JUPITER  
232/571:   6, 162,  0035108526_1.fit,   1X1,   2007 MAR 02 02:30:06.89,   2.967,          3s,   JUPITER  
233/571:   6, 163,  0035108529_1.fit,   1X1,   2007 MAR 02 02:30:09.89,   2.967,          2s,   JUPITER  
234/571:   6, 164,  0035108532_1.fit,   1X1,   2007 MAR 02 02:30:12.89,   2.967,          2s,   JUPITER  
235/571:   6, 165,  0035108603_1.fit,   1X1,   2007 MAR 02 02:31:23.89,   2.967,      1m 11s,   JUPITER  
236/571:   6, 166,  0035108606_1.fit,   1X1,   2007 MAR 02 02:31:26.89,   2.967,          2s,   JUPITER  
237/571:   6, 167,  0035108609_1.fit,   1X1,   2007 MAR 02 02:31:29.88,   2.967,          2s,   JUPITER  
238/571:   6, 168,  0035108612_1.fit,   1X1,   2007 MAR 02 02:31:32.88,   2.967,          2s,   JUPITER  
239/571:   6, 169,  0035108683_1.fit,   1X1,   2007 MAR 02 02:32:43.89,   2.967,      1m 11s,   JUPITER  
240/571:   6, 170,  0035108686_1.fit,   1X1,   2007 MAR 02 02:32:46.88,   2.967,          2s,   JUPITER  
241/571:   6, 171,  0035108689_1.fit,   1X1,   2007 MAR 02 02:32:49.88,   2.967,          2s,   JUPITER  
242/571:   6, 172,  0035108692_1.fit,   1X1,   2007 MAR 02 02:32:52.89,   2.967,          3s,   JUPITER  
243/571:   6, 173,  0035108763_1.fit,   1X1,   2007 MAR 02 02:34:03.88,   2.967,      1m 10s,   JUPITER  
244/571:   6, 174,  0035108766_1.fit,   1X1,   2007 MAR 02 02:34:06.88,   2.967,          2s,   JUPITER  
245/571:   6, 175,  0035108769_1.fit,   1X1,   2007 MAR 02 02:34:09.89,   2.967,          3s,   JUPITER  
246/571:   6, 176,  0035108772_1.fit,   1X1,   2007 MAR 02 02:34:12.89,   2.967,          2s,   JUPITER  
247/571:   6, 177,  0035108843_1.fit,   4X4,   2007 MAR 02 02:35:23.88,   2.967,      1m 10s,   JUPITER  
248/571:   6, 178,  0035108846_1.fit,   4X4,   2007 MAR 02 02:35:26.89,   2.967,          3s,   JUPITER  
249/571:   6, 179,  0035108849_1.fit,   4X4,   2007 MAR 02 02:35:29.89,   2.967,          2s,   JUPITER  
250/571:   6, 180,  0035108852_1.fit,   4X4,   2007 MAR 02 02:35:32.88,   2.967,          2s,   JUPITER  
251/571:   6, 181,  0035108923_1.fit,   4X4,   2007 MAR 02 02:36:43.89,   2.967,      1m 11s,   JUPITER  
252/571:   6, 182,  0035108926_1.fit,   4X4,   2007 MAR 02 02:36:46.89,   2.967,          2s,   JUPITER  
253/571:   6, 183,  0035108929_1.fit,   4X4,   2007 MAR 02 02:36:49.88,   2.967,          2s,   JUPITER  
254/571:   6, 184,  0035108932_1.fit,   4X4,   2007 MAR 02 02:36:52.88,   2.967,          2s,   JUPITER  
255/571:   6, 185,  0035109003_1.fit,   4X4,   2007 MAR 02 02:38:03.89,   2.967,      1m 11s,   JUPITER  
256/571:   6, 186,  0035109006_1.fit,   4X4,   2007 MAR 02 02:38:06.88,   2.967,          2s,   JUPITER  
257/571:   6, 187,  0035109009_1.fit,   4X4,   2007 MAR 02 02:38:09.88,   2.967,          2s,   JUPITER  
258/571:   6, 188,  0035109012_1.fit,   4X4,   2007 MAR 02 02:38:12.89,   2.967,          3s,   JUPITER  
259/571:   6, 189,  0035109431_1.fit,   4X4,   2007 MAR 02 02:45:08.37,  10.000,      6m 55s,   JUPITER  
260/571:   6, 190,  0035109511_1.fit,   4X4,   2007 MAR 02 02:46:28.37,  10.000,      1m 19s,   JUPITER  
261/571:   6, 191,  0035109591_1.fit,   4X4,   2007 MAR 02 02:47:48.36,  10.000,      1m 19s,   JUPITER  
262/571:   6, 192,  0035109671_1.fit,   4X4,   2007 MAR 02 02:49:08.37,  10.000,      1m 20s,   JUPITER  
263/571:   6, 193,  0035110031_1.fit,   4X4,   2007 MAR 02 02:55:08.37,  10.000,      5m 59s,   JUPITER  
264/571:   6, 194,  0035110111_1.fit,   4X4,   2007 MAR 02 02:56:28.37,  10.000,      1m 20s,   JUPITER  
265/571:   6, 195,  0035110191_1.fit,   4X4,   2007 MAR 02 02:57:48.37,  10.000,      1m 19s,   JUPITER  
266/571:   6, 196,  0035110271_1.fit,   4X4,   2007 MAR 02 02:59:08.37,  10.000,      1m 19s,   JUPITER  
267/571:   6, 197,  0035110454_1.fit,   1X1,   2007 MAR 02 03:02:14.87,   3.000,      3m  6s,   JUPITER  
268/571:   6, 198,  0035110754_1.fit,   1X1,   2007 MAR 02 03:07:14.87,   3.000,      4m 59s,   JUPITER  
269/571:   6, 199,  0035111054_1.fit,   1X1,   2007 MAR 02 03:12:14.87,   3.000,      4m 59s,   JUPITER  
270/571:   6, 200,  0035111354_1.fit,   1X1,   2007 MAR 02 03:17:14.86,   3.000,      4m 59s,   JUPITER  
271/571:   6, 201,  0035111654_1.fit,   1X1,   2007 MAR 02 03:22:14.87,   3.000,      5m  0s,   JUPITER  
272/571:   6, 202,  0035111954_1.fit,   1X1,   2007 MAR 02 03:27:14.87,   3.000,      4m 59s,   JUPITER  
273/571:   6, 203,  0035112254_1.fit,   1X1,   2007 MAR 02 03:32:14.87,   3.000,      4m 59s,   JUPITER  
274/571:   6, 204,  0035112554_1.fit,   1X1,   2007 MAR 02 03:37:14.87,   3.000,      4m 59s,   JUPITER  
275/571:   6, 205,  0035112854_1.fit,   1X1,   2007 MAR 02 03:42:14.87,   3.000,      5m  0s,   JUPITER  
276/571:   6, 206,  0035113154_1.fit,   1X1,   2007 MAR 02 03:47:14.87,   3.000,      4m 59s,   JUPITER  
277/571:   6, 207,  0035113333_1.fit,   4X4,   2007 MAR 02 03:50:13.88,   2.967,      2m 59s,   JUPITER  
278/571:   6, 208,  0035113336_1.fit,   4X4,   2007 MAR 02 03:50:16.89,   2.967,          3s,   JUPITER  
279/571:   6, 209,  0035113339_1.fit,   4X4,   2007 MAR 02 03:50:19.89,   2.967,          2s,   JUPITER  
280/571:   6, 210,  0035113342_1.fit,   4X4,   2007 MAR 02 03:50:22.89,   2.967,          2s,   JUPITER  
281/571:   6, 211,  0035113741_1.fit,   4X4,   2007 MAR 02 03:57:01.89,   2.967,      6m 39s,   JUPITER  
282/571:   6, 212,  0035113744_1.fit,   4X4,   2007 MAR 02 03:57:04.89,   2.967,          2s,   JUPITER  
283/571:   6, 213,  0035113747_1.fit,   4X4,   2007 MAR 02 03:57:07.89,   2.967,          2s,   JUPITER  
284/571:   6, 214,  0035113750_1.fit,   4X4,   2007 MAR 02 03:57:10.88,   2.967,          2s,   JUPITER  
285/571:   6, 215,  0035113984_1.fit,   1X1,   2007 MAR 02 04:01:04.87,   3.000,      3m 53s,   JUPITER  
286/571:   6, 216,  0035114054_1.fit,   1X1,   2007 MAR 02 04:02:14.86,   3.000,      1m  9s,   JUPITER  
287/571:   6, 217,  0035114124_1.fit,   1X1,   2007 MAR 02 04:03:24.87,   3.000,      1m 10s,   JUPITER  
288/571:   6, 218,  0035114294_1.fit,   1X1,   2007 MAR 02 04:06:14.87,   3.000,      2m 50s,   JUPITER  
289/571:   6, 219,  0035114864_1.fit,   1X1,   2007 MAR 02 04:15:44.86,   3.000,      9m 29s,   JUPITER  
290/571:   6, 220,  0035115434_1.fit,   1X1,   2007 MAR 02 04:25:14.87,   3.000,      9m 30s,   JUPITER  
291/571:   6, 221,  0035116004_1.fit,   1X1,   2007 MAR 02 04:34:44.87,   3.000,      9m 29s,   JUPITER  
292/571:   6, 222,  0035116574_1.fit,   1X1,   2007 MAR 02 04:44:14.87,   3.000,      9m 29s,   JUPITER  
293/571:   6, 223,  0035116920_1.fit,   1X1,   2007 MAR 02 04:50:01.87,   1.000,      5m 46s,   JUPITER  
294/571:   6, 224,  0035116949_1.fit,   1X1,   2007 MAR 02 04:50:31.32,   0.100,         29s,   JUPITER  
295/571:   6, 225,  0035117161_1.fit,   4X4,   2007 MAR 02 04:54:01.89,   2.967,      3m 30s,   JUPITER  
296/571:   6, 226,  0035117164_1.fit,   4X4,   2007 MAR 02 04:54:04.88,   2.967,          2s,   JUPITER  
297/571:   6, 227,  0035117167_1.fit,   4X4,   2007 MAR 02 04:54:07.88,   2.967,          2s,   JUPITER  
298/571:   6, 228,  0035117170_1.fit,   4X4,   2007 MAR 02 04:54:10.89,   2.967,          3s,   JUPITER  
299/571:   6, 229,  0035117581_1.fit,   4X4,   2007 MAR 02 05:01:01.89,   2.967,      6m 50s,   JUPITER  
300/571:   6, 230,  0035117584_1.fit,   4X4,   2007 MAR 02 05:01:04.88,   2.967,          2s,   JUPITER  
301/571:   6, 231,  0035117587_1.fit,   4X4,   2007 MAR 02 05:01:07.88,   2.967,          2s,   JUPITER  
302/571:   6, 232,  0035117590_1.fit,   4X4,   2007 MAR 02 05:01:10.89,   2.967,          3s,   JUPITER  
303/571:   6, 233,  0035117774_1.fit,   1X1,   2007 MAR 02 05:04:14.87,   3.000,      3m  3s,   JUPITER  
304/571:   6, 234,  0035118344_1.fit,   1X1,   2007 MAR 02 05:13:44.87,   3.000,      9m 29s,   JUPITER  
305/571:   6, 235,  0035118914_1.fit,   1X1,   2007 MAR 02 05:23:14.86,   3.000,      9m 29s,   JUPITER  
306/571:   6, 236,  0035119484_1.fit,   1X1,   2007 MAR 02 05:32:44.87,   3.000,      9m 30s,   JUPITER  
307/571:   6, 237,  0035120054_1.fit,   1X1,   2007 MAR 02 05:42:14.87,   3.000,      9m 29s,   JUPITER  
308/571:   6, 238,  0035120624_1.fit,   1X1,   2007 MAR 02 05:51:44.87,   3.000,      9m 29s,   JUPITER  
309/571:   6, 239,  0035122328_1.fit,   4X4,   2007 MAR 02 06:20:05.38,   9.967,     28m 20s,   JUPITER  
310/571:   6, 240,  0035122338_1.fit,   4X4,   2007 MAR 02 06:20:15.39,   9.967,         10s,   JUPITER  
311/571:   6, 241,  0035122348_1.fit,   4X4,   2007 MAR 02 06:20:25.39,   9.967,          9s,   JUPITER  
312/571:   6, 242,  0035122358_1.fit,   4X4,   2007 MAR 02 06:20:35.38,   9.967,          9s,   JUPITER  
313/571:   6, 243,  0035122368_1.fit,   4X4,   2007 MAR 02 06:20:45.39,   9.967,         10s,   JUPITER  
314/571:   6, 244,  0035122744_1.fit,   1X1,   2007 MAR 02 06:27:04.87,   3.000,      6m 19s,   JUPITER  
315/571:   6, 245,  0035122814_1.fit,   1X1,   2007 MAR 02 06:28:14.87,   3.000,      1m  9s,   JUPITER  
316/571:   6, 246,  0035122884_1.fit,   1X1,   2007 MAR 02 06:29:24.87,   3.000,      1m 10s,   JUPITER  
317/571:   6, 247,  0035123320_1.fit,   4X4,   2007 MAR 02 06:36:37.39,   9.967,      7m 12s,   JUPITER  
318/571:   6, 248,  0035123330_1.fit,   4X4,   2007 MAR 02 06:36:47.38,   9.967,          9s,   JUPITER  
319/571:   6, 249,  0035123340_1.fit,   4X4,   2007 MAR 02 06:36:57.39,   9.967,         10s,   JUPITER  
320/571:   6, 250,  0035123350_1.fit,   4X4,   2007 MAR 02 06:37:07.38,   9.967,          9s,   JUPITER  
321/571:   6, 251,  0035123360_1.fit,   4X4,   2007 MAR 02 06:37:17.39,   9.967,         10s,   JUPITER  
322/571:   6, 252,  0035123440_1.fit,   4X4,   2007 MAR 02 06:38:37.39,   9.967,      1m 19s,   JUPITER  
323/571:   6, 253,  0035123450_1.fit,   4X4,   2007 MAR 02 06:38:47.38,   9.967,          9s,   JUPITER  
324/571:   6, 254,  0035123460_1.fit,   4X4,   2007 MAR 02 06:38:57.39,   9.967,         10s,   JUPITER  
325/571:   6, 255,  0035123470_1.fit,   4X4,   2007 MAR 02 06:39:07.38,   9.967,          9s,   JUPITER  
326/571:   6, 256,  0035123480_1.fit,   4X4,   2007 MAR 02 06:39:17.39,   9.967,         10s,   JUPITER  
327/571:   6, 257,  0035123560_1.fit,   4X4,   2007 MAR 02 06:40:37.39,   9.967,      1m 19s,   JUPITER  
328/571:   6, 258,  0035123570_1.fit,   4X4,   2007 MAR 02 06:40:47.38,   9.967,          9s,   JUPITER  
329/571:   6, 259,  0035123580_1.fit,   4X4,   2007 MAR 02 06:40:57.39,   9.967,         10s,   JUPITER  
330/571:   6, 260,  0035123590_1.fit,   4X4,   2007 MAR 02 06:41:07.39,   9.967,          9s,   JUPITER  
331/571:   6, 261,  0035123600_1.fit,   4X4,   2007 MAR 02 06:41:17.38,   9.967,          9s,   JUPITER  
332/571:   6, 262,  0035123680_1.fit,   4X4,   2007 MAR 02 06:42:37.39,   9.967,      1m 20s,   JUPITER  
333/571:   6, 263,  0035123690_1.fit,   4X4,   2007 MAR 02 06:42:47.38,   9.967,          9s,   JUPITER  
334/571:   6, 264,  0035123700_1.fit,   4X4,   2007 MAR 02 06:42:57.38,   9.967,          9s,   JUPITER  
335/571:   6, 265,  0035123710_1.fit,   4X4,   2007 MAR 02 06:43:07.39,   9.967,         10s,   JUPITER  
336/571:   6, 266,  0035123720_1.fit,   4X4,   2007 MAR 02 06:43:17.38,   9.967,          9s,   JUPITER  
337/571:   6, 267,  0035123944_1.fit,   1X1,   2007 MAR 02 06:47:04.87,   3.000,      3m 47s,   JUPITER  
338/571:   6, 268,  0035124544_1.fit,   1X1,   2007 MAR 02 06:57:04.87,   3.000,     10m  0s,   JUPITER  

 ----- Jupiter ring - phase curve ----- 
339/571:   7,   0,  0034676524_1.fit,   1X1,   2007 FEB 25 02:30:04.87,   3.000,          --,   JUPITER  
340/571:   7,   1,  0034676528_1.fit,   1X1,   2007 FEB 25 02:30:08.87,   3.000,          4s,   JUPITER  
341/571:   7,   2,  0034676532_1.fit,   1X1,   2007 FEB 25 02:30:12.87,   3.000,          4s,   JUPITER  
342/571:   7,   3,  0034676536_1.fit,   1X1,   2007 FEB 25 02:30:16.87,   3.000,          4s,   JUPITER  
343/571:   7,   4,  0034676540_1.fit,   1X1,   2007 FEB 25 02:30:20.87,   3.000,          4s,   JUPITER  
344/571:   7,   5,  0034676544_1.fit,   1X1,   2007 FEB 25 02:30:24.87,   3.000,          4s,   JUPITER  
345/571:   7,   6,  0034676548_1.fit,   1X1,   2007 FEB 25 02:30:28.87,   3.000,          4s,   JUPITER  
346/571:   7,   7,  0034676552_1.fit,   1X1,   2007 FEB 25 02:30:32.87,   3.000,          4s,   JUPITER  
347/571:   7,   8,  0034676944_1.fit,   1X1,   2007 FEB 25 02:37:04.87,   3.000,      6m 31s,   JUPITER  
348/571:   7,   9,  0034676948_1.fit,   1X1,   2007 FEB 25 02:37:08.87,   3.000,          4s,   JUPITER  
349/571:   7,  10,  0034676952_1.fit,   1X1,   2007 FEB 25 02:37:12.87,   3.000,          4s,   JUPITER  
350/571:   7,  11,  0034676956_1.fit,   1X1,   2007 FEB 25 02:37:16.87,   3.000,          4s,   JUPITER  
351/571:   7,  12,  0034676960_1.fit,   1X1,   2007 FEB 25 02:37:20.87,   3.000,          4s,   JUPITER  
352/571:   7,  13,  0034676964_1.fit,   1X1,   2007 FEB 25 02:37:24.87,   3.000,          4s,   JUPITER  
353/571:   7,  14,  0034676968_1.fit,   1X1,   2007 FEB 25 02:37:28.87,   3.000,          4s,   JUPITER  
354/571:   7,  15,  0034676972_1.fit,   1X1,   2007 FEB 25 02:37:32.87,   3.000,          4s,   JUPITER  
355/571:   7,  16,  0034714624_1.fit,   1X1,   2007 FEB 25 13:05:04.87,   3.000, 10h 27m 31s,   JUPITER  
356/571:   7,  17,  0034714628_1.fit,   1X1,   2007 FEB 25 13:05:08.87,   3.000,          4s,   JUPITER  
357/571:   7,  18,  0034714632_1.fit,   1X1,   2007 FEB 25 13:05:12.87,   3.000,          4s,   JUPITER  
358/571:   7,  19,  0034714636_1.fit,   1X1,   2007 FEB 25 13:05:16.87,   3.000,          4s,   JUPITER  
359/571:   7,  20,  0034714640_1.fit,   1X1,   2007 FEB 25 13:05:20.87,   3.000,          4s,   JUPITER  
360/571:   7,  21,  0034714644_1.fit,   1X1,   2007 FEB 25 13:05:24.87,   3.000,          4s,   JUPITER  
361/571:   7,  22,  0034714648_1.fit,   1X1,   2007 FEB 25 13:05:28.87,   3.000,          4s,   JUPITER  
362/571:   7,  23,  0034714652_1.fit,   1X1,   2007 FEB 25 13:05:32.87,   3.000,          4s,   JUPITER  
363/571:   7,  24,  0034715044_1.fit,   1X1,   2007 FEB 25 13:12:04.86,   3.000,      6m 31s,   JUPITER  
364/571:   7,  25,  0034715048_1.fit,   1X1,   2007 FEB 25 13:12:08.86,   3.000,          4s,   JUPITER  
365/571:   7,  26,  0034715052_1.fit,   1X1,   2007 FEB 25 13:12:12.86,   3.000,          4s,   JUPITER  
366/571:   7,  27,  0034715056_1.fit,   1X1,   2007 FEB 25 13:12:16.87,   3.000,          4s,   JUPITER  
367/571:   7,  28,  0034715060_1.fit,   1X1,   2007 FEB 25 13:12:20.87,   3.000,          4s,   JUPITER  
368/571:   7,  29,  0034715064_1.fit,   1X1,   2007 FEB 25 13:12:24.87,   3.000,          4s,   JUPITER  
369/571:   7,  30,  0034715068_1.fit,   1X1,   2007 FEB 25 13:12:28.87,   3.000,          4s,   JUPITER  
370/571:   7,  31,  0034715072_1.fit,   1X1,   2007 FEB 25 13:12:32.87,   3.000,          4s,   JUPITER  
371/571:   7,  32,  0034837022_1.fit,   1X1,   2007 FEB 26 23:05:02.87,   3.000, 33h 52m 30s,   JUPITER  
372/571:   7,  33,  0034837026_1.fit,   1X1,   2007 FEB 26 23:05:06.86,   3.000,          3s,   JUPITER  
373/571:   7,  34,  0034837030_1.fit,   1X1,   2007 FEB 26 23:05:10.86,   3.000,          4s,   JUPITER  
374/571:   7,  35,  0034837034_1.fit,   1X1,   2007 FEB 26 23:05:14.86,   3.000,          4s,   JUPITER  
375/571:   7,  36,  0034837352_1.fit,   1X1,   2007 FEB 26 23:10:32.87,   3.000,      5m 18s,   JUPITER  
376/571:   7,  37,  0034837356_1.fit,   1X1,   2007 FEB 26 23:10:36.87,   3.000,          4s,   JUPITER  
377/571:   7,  38,  0034837360_1.fit,   1X1,   2007 FEB 26 23:10:40.87,   3.000,          4s,   JUPITER  
378/571:   7,  39,  0034837364_1.fit,   1X1,   2007 FEB 26 23:10:44.87,   3.000,          4s,   JUPITER  
379/571:   7,  40,  0035020322_1.fit,   1X1,   2007 MAR 01 02:00:02.87,   3.000, 50h 49m 17s,   JUPITER  
380/571:   7,  41,  0035020326_1.fit,   1X1,   2007 MAR 01 02:00:06.87,   3.000,          4s,   JUPITER  
381/571:   7,  42,  0035020330_1.fit,   1X1,   2007 MAR 01 02:00:10.87,   3.000,          4s,   JUPITER  
382/571:   7,  43,  0035020605_1.fit,   4X4,   2007 MAR 01 02:04:39.88,  14.967,      4m 29s,   JUPITER  
383/571:   7,  44,  0035020620_1.fit,   4X4,   2007 MAR 01 02:04:54.89,  14.967,         15s,   JUPITER  
384/571:   7,  45,  0035020705_1.fit,   4X4,   2007 MAR 01 02:06:19.89,  14.967,      1m 25s,   JUPITER  
385/571:   7,  46,  0035020720_1.fit,   4X4,   2007 MAR 01 02:06:34.89,  14.967,         14s,   JUPITER  
386/571:   7,  47,  0035020805_1.fit,   4X4,   2007 MAR 01 02:07:59.89,  14.967,      1m 25s,   JUPITER  
387/571:   7,  48,  0035020820_1.fit,   4X4,   2007 MAR 01 02:08:14.89,  14.967,         14s,   JUPITER  
388/571:   7,  49,  0035187183_1.fit,   1X1,   2007 MAR 03 00:21:03.89,   2.967, 46h 12m 48s,   JUPITER  
389/571:   7,  50,  0035187186_1.fit,   1X1,   2007 MAR 03 00:21:06.88,   2.967,          2s,   JUPITER  
390/571:   7,  51,  0035187189_1.fit,   1X1,   2007 MAR 03 00:21:09.88,   2.967,          2s,   JUPITER  
391/571:   7,  52,  0035187263_1.fit,   1X1,   2007 MAR 03 00:22:23.88,   2.967,      1m 14s,   JUPITER  
392/571:   7,  53,  0035187266_1.fit,   1X1,   2007 MAR 03 00:22:26.89,   2.967,          3s,   JUPITER  
393/571:   7,  54,  0035187269_1.fit,   1X1,   2007 MAR 03 00:22:29.89,   2.967,          2s,   JUPITER  
394/571:   7,  55,  0035187403_1.fit,   1X1,   2007 MAR 03 00:24:43.89,   2.967,      2m 13s,   JUPITER  
395/571:   7,  56,  0035187406_1.fit,   1X1,   2007 MAR 03 00:24:46.88,   2.967,          2s,   JUPITER  
396/571:   7,  57,  0035187409_1.fit,   1X1,   2007 MAR 03 00:24:49.88,   2.967,          2s,   JUPITER  
397/571:   7,  58,  0035187903_1.fit,   1X1,   2007 MAR 03 00:33:03.88,   2.967,      8m 14s,   JUPITER  
398/571:   7,  59,  0035187906_1.fit,   1X1,   2007 MAR 03 00:33:06.89,   2.967,          3s,   JUPITER  
399/571:   7,  60,  0035187909_1.fit,   1X1,   2007 MAR 03 00:33:09.89,   2.967,          2s,   JUPITER  
400/571:   7,  61,  0035187983_1.fit,   1X1,   2007 MAR 03 00:34:23.89,   2.967,      1m 14s,   JUPITER  
401/571:   7,  62,  0035187986_1.fit,   1X1,   2007 MAR 03 00:34:26.89,   2.967,          2s,   JUPITER  
402/571:   7,  63,  0035187989_1.fit,   1X1,   2007 MAR 03 00:34:29.88,   2.967,          2s,   JUPITER  
403/571:   7,  64,  0035188123_1.fit,   1X1,   2007 MAR 03 00:36:43.88,   2.967,      2m 13s,   JUPITER  
404/571:   7,  65,  0035188126_1.fit,   1X1,   2007 MAR 03 00:36:46.89,   2.967,          3s,   JUPITER  
405/571:   7,  66,  0035188129_1.fit,   1X1,   2007 MAR 03 00:36:49.89,   2.967,          2s,   JUPITER  
406/571:   7,  67,  0035281990_1.fit,   4X4,   2007 MAR 04 02:41:07.38,   9.967, 26h  4m 17s,   JUPITER  
407/571:   7,  68,  0035282000_1.fit,   4X4,   2007 MAR 04 02:41:17.39,   9.967,         10s,   JUPITER  
408/571:   7,  69,  0035282010_1.fit,   4X4,   2007 MAR 04 02:41:27.38,   9.967,          9s,   JUPITER  
409/571:   7,  70,  0035282090_1.fit,   4X4,   2007 MAR 04 02:42:47.38,   9.967,      1m 19s,   JUPITER  
410/571:   7,  71,  0035282100_1.fit,   4X4,   2007 MAR 04 02:42:57.39,   9.967,         10s,   JUPITER  
411/571:   7,  72,  0035282110_1.fit,   4X4,   2007 MAR 04 02:43:07.38,   9.967,          9s,   JUPITER  
412/571:   7,  73,  0035282590_1.fit,   4X4,   2007 MAR 04 02:51:07.39,   9.967,      8m  0s,   JUPITER  
413/571:   7,  74,  0035282600_1.fit,   4X4,   2007 MAR 04 02:51:17.38,   9.967,          9s,   JUPITER  
414/571:   7,  75,  0035282610_1.fit,   4X4,   2007 MAR 04 02:51:27.39,   9.967,         10s,   JUPITER  
415/571:   7,  76,  0035282690_1.fit,   4X4,   2007 MAR 04 02:52:47.39,   9.967,      1m 19s,   JUPITER  
416/571:   7,  77,  0035282700_1.fit,   4X4,   2007 MAR 04 02:52:57.38,   9.967,          9s,   JUPITER  
417/571:   7,  78,  0035282710_1.fit,   4X4,   2007 MAR 04 02:53:07.39,   9.967,         10s,   JUPITER  
418/571:   7,  79,  0035282790_1.fit,   4X4,   2007 MAR 04 02:54:27.39,   9.967,      1m 19s,   JUPITER  
419/571:   7,  80,  0035282800_1.fit,   4X4,   2007 MAR 04 02:54:37.38,   9.967,          9s,   JUPITER  
420/571:   7,  81,  0035282810_1.fit,   4X4,   2007 MAR 04 02:54:47.39,   9.967,         10s,   JUPITER  
421/571:   7,  82,  0035282890_1.fit,   4X4,   2007 MAR 04 02:56:07.39,   9.967,      1m 19s,   JUPITER  
422/571:   7,  83,  0035282900_1.fit,   4X4,   2007 MAR 04 02:56:17.38,   9.967,          9s,   JUPITER  
423/571:   7,  84,  0035282910_1.fit,   4X4,   2007 MAR 04 02:56:27.39,   9.967,         10s,   JUPITER  
424/571:   7,  85,  0035282990_1.fit,   4X4,   2007 MAR 04 02:57:47.38,   9.967,      1m 19s,   JUPITER  
425/571:   7,  86,  0035283000_1.fit,   4X4,   2007 MAR 04 02:57:57.39,   9.967,         10s,   JUPITER  
426/571:   7,  87,  0035283010_1.fit,   4X4,   2007 MAR 04 02:58:07.39,   9.967,          9s,   JUPITER  
427/571:   7,  88,  0035283090_1.fit,   4X4,   2007 MAR 04 02:59:27.38,   9.967,      1m 19s,   JUPITER  
428/571:   7,  89,  0035283100_1.fit,   4X4,   2007 MAR 04 02:59:37.39,   9.967,         10s,   JUPITER  
429/571:   7,  90,  0035283110_1.fit,   4X4,   2007 MAR 04 02:59:47.39,   9.967,          9s,   JUPITER  
430/571:   7,  91,  0035283483_1.fit,   1X1,   2007 MAR 04 03:06:03.88,   2.967,      6m 16s,   JUPITER  
431/571:   7,  92,  0035283486_1.fit,   1X1,   2007 MAR 04 03:06:06.89,   2.967,          3s,   JUPITER  
432/571:   7,  93,  0035283489_1.fit,   1X1,   2007 MAR 04 03:06:09.89,   2.967,          2s,   JUPITER  
433/571:   7,  94,  0035284023_1.fit,   1X1,   2007 MAR 04 03:15:03.88,   2.967,      8m 53s,   JUPITER  
434/571:   7,  95,  0035284026_1.fit,   1X1,   2007 MAR 04 03:15:06.89,   2.967,          3s,   JUPITER  
435/571:   7,  96,  0035284029_1.fit,   1X1,   2007 MAR 04 03:15:09.89,   2.967,          2s,   JUPITER  
436/571:   7,  97,  0035284330_1.fit,   4X4,   2007 MAR 04 03:20:07.39,   9.967,      4m 57s,   JUPITER  
437/571:   7,  98,  0035284340_1.fit,   4X4,   2007 MAR 04 03:20:17.38,   9.967,          9s,   JUPITER  
438/571:   7,  99,  0035284350_1.fit,   4X4,   2007 MAR 04 03:20:27.39,   9.967,         10s,   JUPITER  
439/571:   7, 100,  0035284430_1.fit,   4X4,   2007 MAR 04 03:21:47.39,   9.967,      1m 19s,   JUPITER  
440/571:   7, 101,  0035284440_1.fit,   4X4,   2007 MAR 04 03:21:57.38,   9.967,          9s,   JUPITER  
441/571:   7, 102,  0035284450_1.fit,   4X4,   2007 MAR 04 03:22:07.39,   9.967,         10s,   JUPITER  
442/571:   7, 103,  0035284530_1.fit,   4X4,   2007 MAR 04 03:23:27.39,   9.967,      1m 19s,   JUPITER  
443/571:   7, 104,  0035284540_1.fit,   4X4,   2007 MAR 04 03:23:37.38,   9.967,          9s,   JUPITER  
444/571:   7, 105,  0035284550_1.fit,   4X4,   2007 MAR 04 03:23:47.39,   9.967,         10s,   JUPITER  
445/571:   7, 106,  0035284630_1.fit,   4X4,   2007 MAR 04 03:25:07.39,   9.967,      1m 19s,   JUPITER  
